id,type,instance,status,#connections,inputs (#post),outputs (#pre),#voxels,ADMN(L) post,ADMN(L) pre,ADMN(R) post,ADMN(R) pre,ANm post,ANm pre,AbN1(L) post,AbN1(L) pre,AbN1(R) post,AbN1(R) pre,AbN2(L) post,AbN2(L) pre,AbN2(R) post,AbN2(R) pre,AbN3(L) post,AbN3(L) pre,AbN3(R) post,AbN3(R) pre,AbN4(L) post,AbN4(L) pre,AbN4(R) post,AbN4(R) pre,AbNT post,AbNT pre,CV post,CV pre,CvN(L) post,CvN(L) pre,CvN(R) post,CvN(R) pre,DMetaN(L) post,DMetaN(L) pre,DMetaN(R) post,DMetaN(R) pre,DProN(L) post,DProN(L) pre,DProN(R) post,DProN(R) pre,HTct(UTct-T3)(L) post,HTct(UTct-T3)(L) pre,HTct(UTct-T3)(R) post,HTct(UTct-T3)(R) pre,IntTct post,IntTct pre,LTct post,LTct pre,LegNp(T1)(L) post,LegNp(T1)(L) pre,LegNp(T1)(R) post,LegNp(T1)(R) pre,LegNp(T2)(L) post,LegNp(T2)(L) pre,LegNp(T2)(R) post,LegNp(T2)(R) pre,LegNp(T3)(L) post,LegNp(T3)(L) pre,LegNp(T3)(R) post,LegNp(T3)(R) pre,MesoAN(L) post,MesoAN(L) pre,MesoAN(R) post,MesoAN(R) pre,MesoLN(L) post,MesoLN(L) pre,MesoLN(R) post,MesoLN(R) pre,MetaLN(L) post,MetaLN(L) pre,MetaLN(R) post,MetaLN(R) pre,NTct(UTct-T1)(L) post,NTct(UTct-T1)(L) pre,NTct(UTct-T1)(R) post,NTct(UTct-T1)(R) pre,Ov(L) post,Ov(L) pre,Ov(R) post,Ov(R) pre,PDMN(L) post,PDMN(L) pre,PDMN(R) post,PDMN(R) pre,PrN(L) post,PrN(L) pre,PrN(R) post,PrN(R) pre,ProAN(L) post,ProAN(L) pre,ProAN(R) post,ProAN(R) pre,ProCN(L) post,ProCN(L) pre,ProCN(R) post,ProCN(R) pre,ProLN(L) post,ProLN(L) pre,ProLN(R) post,ProLN(R) pre,VProN(L) post,VProN(L) pre,VProN(R) post,VProN(R) pre,WTct(UTct-T2)(L) post,WTct(UTct-T2)(L) pre,WTct(UTct-T2)(R) post,WTct(UTct-T2)(R) pre,mVAC(T1)(L) post,mVAC(T1)(L) pre,mVAC(T1)(R) post,mVAC(T1)(R) pre,mVAC(T2)(L) post,mVAC(T2)(L) pre,mVAC(T2)(R) post,mVAC(T2)(R) pre,mVAC(T3)(L) post,mVAC(T3)(L) pre,mVAC(T3)(R) post,mVAC(T3)(R) pre
25479,DNut047,DNut047_CvC_L,Traced,1,116,405,318756131,3,2,46,121,21,76,35,152,9,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25868,IN11B004,IN11B004_T2_L,Traced,1,1022,270,397492286,234,74,24,,153,55,15,9,581,130,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23858,IN11B017,IN11B017_T2_L,Traced,1,1524,159,487023693,1196,158,277,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25135,IN11A034,IN11A034_T1_L,Traced,1,1008,345,403721628,87,146,302,48,3,,14,2,476,116,126,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24362,IN11B017,IN11B017_T2_L,Traced,1,1347,165,526420774,1215,157,60,3,70,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24740,IN12A061,IN12A061_T2_L,Traced,1,1361,235,432370199,869,146,265,36,227,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24602,IN07B081,IN07B081_T2_R,Traced,1,1421,251,364224341,89,112,405,41,3,,1,,,5,20,,47,66,856,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23691,IN07B086,IN07B086_A1_L,Traced,1,875,355,381854813,718,63,16,94,124,162,,,,11,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22975,AN19B093,AN19B093_T3_R,Traced,1,736,215,413097038,4,,35,90,539,,3,5,3,6,118,,33,110,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22967,IN11A031,IN11A031_T2_L,Traced,1,1817,435,467600666,640,189,20,10,879,154,36,4,2,3,240,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22170,IN06B064,IN06B064_T3_R,Traced,1,1231,356,568917079,72,17,558,182,7,,6,,104,40,345,92,23,,114,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22506,IN12A059,IN12A059_T2_L,Traced,1,1660,278,515157018,421,39,149,29,560,61,249,26,1,,38,10,177,62,65,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21392,IN08B087,IN08B087_T2_R,Traced,1,1089,381,481976614,3,3,48,146,347,123,560,7,34,,24,72,34,,25,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21390,IN07B081,IN07B081_T2_R,Traced,1,1073,221,460313484,39,95,93,,381,14,20,,1,,20,,27,111,490,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20726,IN06A057,IN06A057_T2_R,Traced,1,1249,303,560472194,15,76,388,25,474,40,6,3,28,124,,12,338,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20821,IN11B018,IN11B018_T2_L,Traced,1,761,192,258081763,341,109,264,53,156,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20683,IN12A057,IN12A057_T2_L,Traced,1,1995,298,551348425,214,28,136,21,1057,106,345,16,1,,154,85,88,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19884,IN12A054,IN12A054_T2_L,Traced,1,2080,252,561986473,1654,192,357,30,3,,1,,65,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19137,IN06A061,IN06A061_T3_R,Traced,1,1165,177,612895297,2,,37,175,1123,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19559,IN03B062,IN03B062_A1_L,Traced,1,1000,281,582818281,78,,863,168,3,5,56,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18675,IN07B098,IN07B098_T3_L,Traced,1,468,187,335008902,381,7,21,42,,1,66,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18701,IN06B055,IN06B055_T2_L,Traced,1,2196,622,659067637,127,31,157,64,1276,295,518,40,4,,4,,14,32,95,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17037,AN06B068,AN06B068_T2_L,Traced,1,1247,636,789568657,19,4,99,228,825,222,210,2,15,1,9,,70,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16247,IN19B048,IN19B048_T2_R,Traced,1,1143,344,881378072,2,2,2,,62,188,658,1,80,1,1,,,,5,28,34,1,26,122,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16241,IN06A035,IN06A035_A1_L,Traced,1,2821,646,889898869,45,87,2329,465,7,57,397,32,4,,38,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16121,IN06A044,IN06A044_T2_R,Traced,1,2163,163,958046541,3,12,1921,,68,35,1,,52,116,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15913,IN06B055,IN06B055_T2_R,Traced,1,2245,612,867900318,200,78,79,23,1062,244,436,57,234,100,234,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15790,SApp09,SApp09_DMetaN_L,Traced,1,229,196,1136228606,2,1,4,4,110,106,60,45,51,39,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15187,AN18B025,AN18B025_T1_R,Traced,1,2153,578,1298995769,12,2,46,139,395,52,28,,190,,91,349,1382,4,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14104,AN18B022,AN18B022_T2_R,Traced,1,1766,157,1428271427,11,2,435,108,81,,13,27,360,,840,,2,18,9,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13926,AN27X008,AN27X008_T2_L,Traced,1,2941,1782,3311827244,30,,5,1,273,155,331,200,370,245,130,32,23,32,38,43,7,16,7,12,1,,336,111,301,157,4,2,571,353,496,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13539,AN07B024,AN07B024_T2_R,Traced,1,3652,788,1553779154,2,1,84,253,747,345,1092,34,2,,7,14,897,17,10,23,3,17,632,7,18,74,158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13148,IN06A019,IN06A019_T2_R,Traced,1,2445,242,1467728425,60,103,1053,1,1280,50,30,,,1,22,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12906,IN06A013,IN06A013_T2_L,Traced,1,2855,775,1563405546,1904,317,53,310,381,43,21,,6,59,489,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12979,AN07B025,AN07B025_T2_L,Traced,1,2145,827,1535038188,169,44,22,41,994,392,360,56,76,56,28,26,3,,393,37,3,24,44,20,51,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12591,IN02A013,IN02A013_T1_L,Traced,1,3716,963,1746961887,120,119,2028,510,149,36,141,12,998,249,277,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12797,IN06B042,IN06B042_T2_R,Traced,1,4404,1108,1615734453,1069,211,1186,189,392,149,184,254,236,22,659,114,676,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12578,AN07B032,AN07B032_T3_R,Traced,1,1972,864,1515081194,82,18,1,,139,340,1040,33,256,178,27,,7,28,19,2,338,21,35,133,26,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12541,AN07B021,AN07B021_T2_L,Traced,1,2763,883,1733175247,3,1,751,81,12,27,770,290,75,181,20,2,11,76,2,1,2,2,15,143,740,30,1,11,358,24,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12536,AN27X008,AN27X008_T2_R,Traced,1,3116,1722,3157292506,19,,4,6,344,217,374,203,360,241,102,36,13,17,5,15,8,5,1,,339,162,315,137,645,425,562,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12236,IN12A012,IN12A012_T2_L,Traced,1,8275,1064,1994098631,1430,350,3786,261,313,33,,,134,6,55,46,2557,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11974,DNp05,DNxn026_CvC_L,Traced,1,326,1329,2041615117,,3,10,6,1,5,56,225,108,515,30,100,61,231,42,214,5,29,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12098,IN06A006,IN06A006_T1_R,Traced,1,1519,1193,1977105360,60,257,196,309,1,7,55,252,148,1,86,350,970,8,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11700,IN07B019,IN07B019_A1_L,Traced,1,3936,861,2237174141,133,23,2775,207,84,220,616,264,34,2,79,6,1,9,176,5,34,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11684,DNp19,DNxn034_CvC_R,Traced,1,868,1674,2237654279,3,4,33,82,162,252,457,852,97,178,,3,9,33,1,25,28,51,25,80,,16,51,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11514,IN12A008,IN12A008_T1_L,Traced,1,4552,1359,2368375035,653,588,2436,340,278,8,112,7,48,1,9,,940,335,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11223,IN03B022,IN03B022_T1_L,Traced,1,5790,1440,2644507973,86,47,1110,165,589,72,36,134,83,315,3574,632,3,3,307,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10937,DNg99,DNxn097_CvC_L,Traced,1,344,1549,2675258640,4,4,133,502,145,791,1,5,,1,11,66,46,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10721,DNxn142,DNxn142_CvC_L,Traced,1,395,2252,3386412556,,11,9,3,90,352,144,940,6,28,,1,47,402,66,379,22,108,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10681,DNp26,DNxn040_CvC_L,Traced,1,485,1142,2031035776,12,2,226,390,131,315,28,69,4,24,2,14,40,216,38,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10571,MNhm42,MNhm42_AbN1_L,Traced,1,12377,92,4957304249,1,,4452,47,3102,27,4,,36,,742,2,2930,4,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
