id,type,instance,status,#connections,inputs (#post),outputs (#pre),#voxels,ADMN(L) post,ADMN(L) pre,ADMN(R) post,ADMN(R) pre,ANm post,ANm pre,AbN1(L) post,AbN1(L) pre,AbN1(R) post,AbN1(R) pre,AbN2(L) post,AbN2(L) pre,AbN2(R) post,AbN2(R) pre,AbN3(L) post,AbN3(L) pre,AbN3(R) post,AbN3(R) pre,AbN4(L) post,AbN4(L) pre,AbN4(R) post,AbN4(R) pre,AbNT post,AbNT pre,CV post,CV pre,CvN(L) post,CvN(L) pre,CvN(R) post,CvN(R) pre,DMetaN(L) post,DMetaN(L) pre,DMetaN(R) post,DMetaN(R) pre,DProN(L) post,DProN(L) pre,DProN(R) post,DProN(R) pre,HTct(UTct-T3)(L) post,HTct(UTct-T3)(L) pre,HTct(UTct-T3)(R) post,HTct(UTct-T3)(R) pre,IntTct post,IntTct pre,LTct post,LTct pre,LegNp(T1)(L) post,LegNp(T1)(L) pre,LegNp(T1)(R) post,LegNp(T1)(R) pre,LegNp(T2)(L) post,LegNp(T2)(L) pre,LegNp(T2)(R) post,LegNp(T2)(R) pre,LegNp(T3)(L) post,LegNp(T3)(L) pre,LegNp(T3)(R) post,LegNp(T3)(R) pre,MesoAN(L) post,MesoAN(L) pre,MesoAN(R) post,MesoAN(R) pre,MesoLN(L) post,MesoLN(L) pre,MesoLN(R) post,MesoLN(R) pre,MetaLN(L) post,MetaLN(L) pre,MetaLN(R) post,MetaLN(R) pre,NTct(UTct-T1)(L) post,NTct(UTct-T1)(L) pre,NTct(UTct-T1)(R) post,NTct(UTct-T1)(R) pre,Ov(L) post,Ov(L) pre,Ov(R) post,Ov(R) pre,PDMN(L) post,PDMN(L) pre,PDMN(R) post,PDMN(R) pre,PrN(L) post,PrN(L) pre,PrN(R) post,PrN(R) pre,ProAN(L) post,ProAN(L) pre,ProAN(R) post,ProAN(R) pre,ProCN(L) post,ProCN(L) pre,ProCN(R) post,ProCN(R) pre,ProLN(L) post,ProLN(L) pre,ProLN(R) post,ProLN(R) pre,VProN(L) post,VProN(L) pre,VProN(R) post,VProN(R) pre,WTct(UTct-T2)(L) post,WTct(UTct-T2)(L) pre,WTct(UTct-T2)(R) post,WTct(UTct-T2)(R) pre,mVAC(T1)(L) post,mVAC(T1)(L) pre,mVAC(T1)(R) post,mVAC(T1)(R) pre,mVAC(T2)(L) post,mVAC(T2)(L) pre,mVAC(T2)(R) post,mVAC(T2)(R) pre,mVAC(T3)(L) post,mVAC(T3)(L) pre,mVAC(T3)(R) post,mVAC(T3)(R) pre
23755,IN07B081,IN07B081_T2_R,Traced,4,1112,207,390975877,42,80,68,,398,38,16,,51,89,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15744,IN11A018,IN11A018_T1_L,Traced,4,1736,473,640797961,6,33,60,184,303,44,1,,15,1,845,90,38,2,461,115,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15307,IN11B018,IN11B018_T1_L,Traced,4,1867,788,1268025348,2,16,136,515,471,120,69,3,1154,110,30,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31326654715,,,,3,1,3,789658,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156206,IN12A057,IN12A057_T2_L,Traced,3,2005,282,515539706,96,17,3,,1424,145,218,16,127,13,117,61,19,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32699,DNnt013,DNnt013_CvC_L,Traced,3,88,213,139815936,2,,9,30,5,6,72,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31880,IN12A057,IN12A057_T2_R,Traced,3,1898,292,488107406,160,25,1115,119,361,16,34,8,107,59,119,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26792,IN06A046,IN06A046_T2_L,Traced,3,1215,669,665292802,598,328,11,39,480,173,14,10,1,,1,2,20,12,76,37,14,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24402,IN06A120,IN06A120_A1_R,Traced,3,524,139,363055366,15,12,49,45,435,,18,56,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16512,AN06B051,AN06B051_T2_R,Traced,3,2388,1170,891431934,148,266,199,55,1673,564,241,71,2,,86,207,9,4,1,,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,DNp01,DNlt002_CvC_L,Traced,3,1902,934,39414880927,235,59,103,24,1452,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40821170646,,,,2,0,4,770228,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38330743843,,,,2,2,2,11399,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32168506873,,,,2,1,3,1355426,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
